Fecha,Edad,Cantidad
2021-02-26,30 años,1
2021-02-26,44 años,1
2021-02-27,19 años,1
2021-02-27,20 años,1
2021-02-27,21 años,11
2021-02-27,22 años,7
2021-02-27,23 años,5
2021-02-27,24 años,8
2021-02-27,25 años,8
2021-02-27,26 años,5
2021-02-27,27 años,5
2021-02-27,28 años,10
2021-02-27,29 años,6
2021-02-27,30 años,13
2021-02-27,31 años,11
2021-02-27,32 años,9
2021-02-27,33 años,11
2021-02-27,34 años,5
2021-02-27,35 años,15
2021-02-27,36 años,16
2021-02-27,37 años,21
2021-02-27,38 años,13
2021-02-27,39 años,10
2021-02-27,40 años,8
2021-02-27,41 años,15
2021-02-27,42 años,11
2021-02-27,43 años,12
2021-02-27,44 años,12
2021-02-27,45 años,17
2021-02-27,46 años,13
2021-02-27,47 años,5
2021-02-27,48 años,13
2021-02-27,49 años,8
2021-02-27,50 años,8
2021-02-27,51 años,10
2021-02-27,52 años,9
2021-02-27,53 años,10
2021-02-27,54 años,8
2021-02-27,55 años,6
2021-02-27,56 años,6
2021-02-27,57 años,3
2021-02-27,58 años,2
2021-02-27,59 años,5
2021-02-27,60 años,2
2021-02-28,26 años,1
2021-03-01,18 años,19
2021-03-01,19 años,69
2021-03-01,20 años,118
2021-03-01,21 años,160
2021-03-01,22 años,215
2021-03-01,23 años,264
2021-03-01,24 años,284
2021-03-01,25 años,346
2021-03-01,26 años,337
2021-03-01,27 años,385
2021-03-01,28 años,394
2021-03-01,29 años,433
2021-03-01,30 años,469
2021-03-01,31 años,473
2021-03-01,32 años,554
2021-03-01,33 años,501
2021-03-01,34 años,537
2021-03-01,35 años,572
2021-03-01,36 años,551
2021-03-01,37 años,552
2021-03-01,38 años,604
2021-03-01,39 años,623
2021-03-01,40 años,611
2021-03-01,41 años,672
2021-03-01,42 años,650
2021-03-01,43 años,587
2021-03-01,44 años,640
2021-03-01,45 años,576
2021-03-01,46 años,581
2021-03-01,47 años,512
2021-03-01,48 años,526
2021-03-01,49 años,543
2021-03-01,50 años,437
2021-03-01,51 años,408
2021-03-01,52 años,392
2021-03-01,53 años,407
2021-03-01,54 años,383
2021-03-01,55 años,364
2021-03-01,56 años,361
2021-03-01,57 años,321
2021-03-01,58 años,273
2021-03-01,59 años,239
2021-03-01,60 años,81
2021-03-02,18 años,32
2021-03-02,19 años,95
2021-03-02,20 años,151
2021-03-02,21 años,182
2021-03-02,22 años,217
2021-03-02,23 años,274
2021-03-02,24 años,293
2021-03-02,25 años,319
2021-03-02,26 años,356
2021-03-02,27 años,326
2021-03-02,28 años,337
2021-03-02,29 años,381
2021-03-02,30 años,386
2021-03-02,31 años,431
2021-03-02,32 años,445
2021-03-02,33 años,460
2021-03-02,34 años,455
2021-03-02,35 años,449
2021-03-02,36 años,501
2021-03-02,37 años,456
2021-03-02,38 años,498
2021-03-02,39 años,486
2021-03-02,40 años,489
2021-03-02,41 años,455
2021-03-02,42 años,494
2021-03-02,43 años,495
2021-03-02,44 años,499
2021-03-02,45 años,493
2021-03-02,46 años,414
2021-03-02,47 años,413
2021-03-02,48 años,345
2021-03-02,49 años,402
2021-03-02,50 años,339
2021-03-02,51 años,330
2021-03-02,52 años,282
2021-03-02,53 años,288
2021-03-02,54 años,272
2021-03-02,55 años,281
2021-03-02,56 años,254
2021-03-02,57 años,234
2021-03-02,58 años,196
2021-03-02,59 años,176
2021-03-02,60 años,46
2021-03-02,62 años,1
2021-03-02,65 años,1
2021-03-02,72 años,1
2021-03-02,77 años,1
2021-03-02,84 años,1
2021-03-03,18 años,35
2021-03-03,19 años,118
2021-03-03,20 años,231
2021-03-03,21 años,262
2021-03-03,22 años,299
2021-03-03,23 años,381
2021-03-03,24 años,417
2021-03-03,25 años,466
2021-03-03,26 años,432
2021-03-03,27 años,512
2021-03-03,28 años,541
2021-03-03,29 años,536
2021-03-03,30 años,565
2021-03-03,31 años,599
2021-03-03,32 años,670
2021-03-03,33 años,602
2021-03-03,34 años,659
2021-03-03,35 años,732
2021-03-03,36 años,677
2021-03-03,37 años,727
2021-03-03,38 años,621
2021-03-03,39 años,675
2021-03-03,40 años,676
2021-03-03,41 años,708
2021-03-03,42 años,745
2021-03-03,43 años,786
2021-03-03,44 años,715
2021-03-03,45 años,668
2021-03-03,46 años,634
2021-03-03,47 años,570
2021-03-03,48 años,531
2021-03-03,49 años,543
2021-03-03,50 años,484
2021-03-03,51 años,470
2021-03-03,52 años,456
2021-03-03,53 años,440
2021-03-03,54 años,393
2021-03-03,55 años,363
2021-03-03,56 años,412
2021-03-03,57 años,376
2021-03-03,58 años,271
2021-03-03,59 años,258
2021-03-03,60 años,41
2021-03-03,61 años,1
2021-03-03,74 años,1
2021-03-03,84 años,1
2021-03-03,85 años,1
2021-03-03,No Definido,1
2021-03-04,13 años,1
2021-03-04,18 años,10
2021-03-04,19 años,53
2021-03-04,20 años,107
2021-03-04,21 años,149
2021-03-04,22 años,167
2021-03-04,23 años,164
2021-03-04,24 años,176
2021-03-04,25 años,219
2021-03-04,26 años,231
2021-03-04,27 años,217
2021-03-04,28 años,224
2021-03-04,29 años,283
2021-03-04,30 años,239
2021-03-04,31 años,276
2021-03-04,32 años,316
2021-03-04,33 años,300
2021-03-04,34 años,274
2021-03-04,35 años,294
2021-03-04,36 años,309
2021-03-04,37 años,291
2021-03-04,38 años,311
2021-03-04,39 años,297
2021-03-04,40 años,297
2021-03-04,41 años,282
2021-03-04,42 años,284
2021-03-04,43 años,243
2021-03-04,44 años,254
2021-03-04,45 años,273
2021-03-04,46 años,290
2021-03-04,47 años,234
2021-03-04,48 años,211
2021-03-04,49 años,205
2021-03-04,50 años,194
2021-03-04,51 años,198
2021-03-04,52 años,177
2021-03-04,53 años,167
2021-03-04,54 años,134
2021-03-04,55 años,139
2021-03-04,56 años,126
2021-03-04,57 años,136
2021-03-04,58 años,123
2021-03-04,59 años,96
2021-03-04,60 años,2
2021-03-05,18 años,13
2021-03-05,19 años,44
2021-03-05,20 años,77
2021-03-05,21 años,105
2021-03-05,22 años,124
2021-03-05,23 años,170
2021-03-05,24 años,227
2021-03-05,25 años,219
2021-03-05,26 años,256
2021-03-05,27 años,238
2021-03-05,28 años,258
2021-03-05,29 años,262
2021-03-05,30 años,306
2021-03-05,31 años,303
2021-03-05,32 años,334
2021-03-05,33 años,298
2021-03-05,34 años,274
2021-03-05,35 años,282
2021-03-05,36 años,295
2021-03-05,37 años,234
2021-03-05,38 años,278
2021-03-05,39 años,285
2021-03-05,40 años,268
2021-03-05,41 años,337
2021-03-05,42 años,296
2021-03-05,43 años,286
2021-03-05,44 años,270
2021-03-05,45 años,271
2021-03-05,46 años,252
2021-03-05,47 años,236
2021-03-05,48 años,258
2021-03-05,49 años,214
2021-03-05,50 años,223
2021-03-05,51 años,190
2021-03-05,52 años,162
2021-03-05,53 años,167
2021-03-05,54 años,162
2021-03-05,55 años,189
2021-03-05,56 años,151
2021-03-05,57 años,125
2021-03-05,58 años,140
2021-03-05,59 años,112
2021-03-05,60 años,2
2021-03-05,61 años,1
2021-03-05,66 años,1
2021-03-05,68 años,1
2021-03-05,69 años,1
2021-03-05,73 años,1
2021-03-06,50 años,1
2021-03-08,18 años,2
2021-03-08,19 años,10
2021-03-08,20 años,16
2021-03-08,21 años,16
2021-03-08,22 años,24
2021-03-08,23 años,32
2021-03-08,24 años,37
2021-03-08,25 años,48
2021-03-08,26 años,42
2021-03-08,27 años,55
2021-03-08,28 años,65
2021-03-08,29 años,72
2021-03-08,30 años,85
2021-03-08,31 años,72
2021-03-08,32 años,71
2021-03-08,33 años,91
2021-03-08,34 años,84
2021-03-08,35 años,70
2021-03-08,36 años,84
2021-03-08,37 años,81
2021-03-08,38 años,99
2021-03-08,39 años,90
2021-03-08,40 años,93
2021-03-08,41 años,100
2021-03-08,42 años,104
2021-03-08,43 años,83
2021-03-08,44 años,93
2021-03-08,45 años,73
2021-03-08,46 años,98
2021-03-08,47 años,83
2021-03-08,48 años,56
2021-03-08,49 años,59
2021-03-08,50 años,68
2021-03-08,51 años,58
2021-03-08,52 años,56
2021-03-08,53 años,59
2021-03-08,54 años,73
2021-03-08,55 años,4535
2021-03-08,56 años,5108
2021-03-08,57 años,5137
2021-03-08,58 años,5614
2021-03-08,59 años,5356
2021-03-08,70 años,1
2021-03-08,71 años,1
2021-03-08,79 años,1
2021-03-08,85 años,1
2021-03-08,89 años,1
2021-03-08,No Definido,4
2021-03-09,18 años,28
2021-03-09,19 años,34
2021-03-09,20 años,33
2021-03-09,21 años,61
2021-03-09,22 años,78
2021-03-09,23 años,84
2021-03-09,24 años,95
2021-03-09,25 años,106
2021-03-09,26 años,94
2021-03-09,27 años,109
2021-03-09,28 años,94
2021-03-09,29 años,133
2021-03-09,30 años,119
2021-03-09,31 años,121
2021-03-09,32 años,110
2021-03-09,33 años,141
2021-03-09,34 años,125
2021-03-09,35 años,115
2021-03-09,36 años,130
2021-03-09,37 años,127
2021-03-09,38 años,147
2021-03-09,39 años,123
2021-03-09,40 años,124
2021-03-09,41 años,135
2021-03-09,42 años,132
2021-03-09,43 años,128
2021-03-09,44 años,127
2021-03-09,45 años,109
2021-03-09,46 años,124
2021-03-09,47 años,121
2021-03-09,48 años,121
2021-03-09,49 años,104
2021-03-09,50 años,98
2021-03-09,51 años,94
2021-03-09,52 años,104
2021-03-09,53 años,85
2021-03-09,54 años,82
2021-03-09,55 años,3287
2021-03-09,56 años,3669
2021-03-09,57 años,3607
2021-03-09,58 años,3747
2021-03-09,59 años,3640
2021-03-09,60 años,3
2021-03-09,62 años,1
2021-03-09,74 años,1
2021-03-09,76 años,1
2021-03-09,79 años,1
2021-03-09,80 años,1
2021-03-09,97 años,1
2021-03-10,6 años,1
2021-03-10,18 años,28
2021-03-10,19 años,32
2021-03-10,20 años,43
2021-03-10,21 años,117
2021-03-10,22 años,108
2021-03-10,23 años,115
2021-03-10,24 años,153
2021-03-10,25 años,168
2021-03-10,26 años,171
2021-03-10,27 años,185
2021-03-10,28 años,187
